                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.6876,                 1.0062,                 1.3938,                 0.8631,                0.72545,                0.80631,                0.39692,                 1.8816,                 1.0608,                 1.5928,               0.005611,               0.005611,               0.005611
                    136,                  1.661,                 1.0135,                  1.379,                 0.8489,                0.77295,                0.82344,                0.40763,                 1.9062,                 1.0402,                 1.6126,               0.005578,               0.005578,               0.005578
                    137,                 1.6886,                 1.0147,                 1.3876,                0.84839,                0.74407,                0.81113,                 0.4019,                  1.925,                  1.084,                 1.6302,               0.005545,               0.005545,               0.005545
                    138,                 1.7021,                 1.0241,                 1.3946,                0.86668,                0.76359,                0.83093,                0.40898,                 1.9512,                 1.0606,                 1.6316,               0.005512,               0.005512,               0.005512
                    139,                 1.6775,                 1.0043,                 1.3763,                0.89984,                 0.7438,                0.82274,                0.39498,                 1.9444,                 1.0695,                 1.6413,               0.005479,               0.005479,               0.005479
                    140,                  1.668,                0.99291,                 1.3845,                0.86676,                0.76326,                0.81839,                 0.4014,                 1.9391,                 1.0476,                  1.636,               0.005446,               0.005446,               0.005446
                    141,                 1.6695,                 1.0042,                 1.3887,                0.85289,                 0.7487,                0.81795,                0.40814,                 1.9301,                 1.0509,                 1.6491,               0.005413,               0.005413,               0.005413
                    142,                 1.6749,                 1.0089,                 1.3917,                0.87047,                0.77967,                0.84046,                0.40823,                 1.9663,                 1.0518,                 1.6576,                0.00538,                0.00538,                0.00538
                    143,                 1.6904,                0.99125,                 1.3816,                0.82504,                0.79251,                0.82756,                0.40444,                 1.9153,                  1.017,                 1.6277,               0.005347,               0.005347,               0.005347
                    144,                 1.6764,                 1.0046,                 1.3699,                0.86334,                0.76337,                0.82976,                0.40079,                 1.9323,                 1.0322,                 1.6178,               0.005314,               0.005314,               0.005314
                    145,                 1.6641,                0.99218,                 1.3701,                0.83864,                0.78252,                0.82081,                0.39827,                 1.9093,                 1.0173,                 1.6071,               0.005281,               0.005281,               0.005281
                    146,                 1.6856,                0.99898,                 1.3984,                0.85056,                0.75738,                 0.8254,                0.40862,                 1.9093,                 1.0308,                 1.6191,               0.005248,               0.005248,               0.005248
                    147,                 1.6504,                 0.9797,                 1.3633,                0.83281,                0.77397,                0.81845,                0.40518,                 1.9222,                  1.057,                 1.6527,               0.005215,               0.005215,               0.005215
                    148,                 1.6614,                 1.0025,                 1.3762,                0.83838,                0.78357,                0.81904,                0.39987,                 1.9806,                 1.0426,                 1.6811,               0.005182,               0.005182,               0.005182
                    149,                 1.6546,                0.97874,                 1.3591,                0.86764,                0.76094,                0.82374,                0.39805,                 1.9475,                  1.047,                 1.6618,               0.005149,               0.005149,               0.005149
                    150,                 1.6592,                0.97971,                 1.3711,                 0.8492,                0.78557,                0.83521,                0.41105,                 1.9065,                 1.0325,                 1.6309,               0.005116,               0.005116,               0.005116
