                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.6008,                0.94701,                 1.3317,                0.84085,                0.75025,                0.78559,                0.36892,                 1.8918,                 1.0941,                  1.591,               0.006535,               0.006535,               0.006535
                    108,                 1.6542,                0.97774,                 1.3437,                0.80452,                0.72918,                0.76285,                0.35645,                 1.9738,                 1.1165,                  1.624,               0.006502,               0.006502,               0.006502
                    109,                 1.6386,                0.96342,                 1.3658,                0.79443,                0.78761,                0.80641,                0.38892,                 1.8747,                 1.0378,                  1.573,               0.006469,               0.006469,               0.006469
                    110,                 1.6453,                0.96679,                  1.351,                0.84495,                0.76419,                0.81257,                0.39289,                 1.9243,                 1.0486,                 1.5947,               0.006436,               0.006436,               0.006436
                    111,                 1.6171,                0.95292,                 1.3376,                0.87003,                0.76012,                0.81003,                0.39776,                 1.9518,                 1.0216,                 1.6386,               0.006403,               0.006403,               0.006403
                    112,                 1.6455,                0.97151,                 1.3507,                0.85166,                0.75033,                0.80015,                0.40571,                 1.8323,                 1.0115,                 1.5473,                0.00637,                0.00637,                0.00637
                    113,                 1.6051,                 0.9529,                 1.3502,                0.83472,                0.73119,                0.80211,                0.39585,                 1.8745,                 1.0105,                 1.5813,               0.006337,               0.006337,               0.006337
                    114,                 1.6089,                0.94582,                 1.3404,                0.85897,                0.75748,                 0.8039,                 0.3985,                 1.8764,                 1.0299,                 1.5577,               0.006304,               0.006304,               0.006304
                    115,                 1.6024,                0.94244,                 1.3261,                0.87787,                0.76237,                 0.8151,                0.40014,                  1.905,                 1.0248,                  1.571,               0.006271,               0.006271,               0.006271
                    116,                 1.5693,                0.92888,                 1.3202,                0.90559,                0.74086,                0.82405,                0.39462,                 1.9129,                0.99911,                 1.5968,               0.006238,               0.006238,               0.006238
                    117,                 1.5821,                0.92313,                 1.3204,                0.89116,                0.74085,                0.80646,                0.40375,                 1.8317,                0.98963,                 1.5455,               0.006205,               0.006205,               0.006205
                    118,                 1.5983,                0.94671,                 1.3408,                0.83345,                0.78018,                   0.82,                0.39745,                 1.9466,                 1.0172,                 1.5981,               0.006172,               0.006172,               0.006172
                    119,                 1.5948,                0.94056,                 1.3248,                0.85444,                0.77366,                0.81905,                0.40711,                 1.8638,                 1.0289,                 1.5409,               0.006139,               0.006139,               0.006139
                    120,                 1.5799,                0.94045,                 1.3367,                0.88412,                0.75439,                0.81645,                0.41033,                 1.8424,                0.97283,                 1.5403,               0.006106,               0.006106,               0.006106
                    121,                 1.5873,                0.92537,                 1.3105,                0.87881,                0.74116,                0.80731,                0.40018,                 1.8284,                 1.0024,                 1.5425,               0.006073,               0.006073,               0.006073
                    122,                 1.5677,                0.92026,                 1.3165,                0.83359,                0.77704,                0.82384,                0.40798,                 1.8366,                0.96271,                 1.5528,                0.00604,                0.00604,                0.00604
                    123,                 1.5713,                0.91325,                 1.3168,                 0.8449,                0.77416,                0.81124,                0.40771,                 1.8822,                 1.0135,                 1.5658,               0.006007,               0.006007,               0.006007
                    124,                 1.5742,                0.92098,                 1.3226,                0.86623,                0.78717,                0.82768,                0.41805,                 1.8384,                0.98945,                 1.5349,               0.005974,               0.005974,               0.005974
                    125,                 1.5711,                0.90588,                 1.2986,                0.85206,                0.79287,                0.81854,                0.40614,                 1.8101,                0.98569,                 1.5374,               0.005941,               0.005941,               0.005941
                    126,                 1.5436,                0.89072,                 1.3079,                0.87012,                0.73784,                0.80687,                0.40119,                 1.8773,                0.98155,                  1.582,               0.005908,               0.005908,               0.005908
                    127,                 1.5941,                0.90765,                   1.33,                0.86983,                0.77744,                0.83028,                0.41379,                 1.8867,                0.97812,                 1.5817,               0.005875,               0.005875,               0.005875
                    128,                 1.5713,                0.90803,                 1.3109,                0.88565,                0.75023,                0.82041,                0.41325,                 1.7985,                0.96869,                 1.5245,               0.005842,               0.005842,               0.005842
                    129,                 1.5596,                0.90672,                 1.3005,                0.86548,                0.75904,                0.82718,                0.40909,                 1.8393,                0.99534,                 1.5469,               0.005809,               0.005809,               0.005809
                    130,                 1.5557,                 0.8929,                  1.291,                0.86887,                0.74898,                0.80783,                0.40624,                 1.8589,                0.98926,                 1.5644,               0.005776,               0.005776,               0.005776
                    131,                 1.5631,                0.90712,                 1.3257,                 0.8525,                0.79778,                0.83533,                0.41249,                 1.8874,                 0.9719,                 1.5898,               0.005743,               0.005743,               0.005743
                    132,                 1.5313,                0.88612,                 1.3036,                0.84444,                0.77891,                0.82258,                0.40919,                   1.82,                 1.0194,                 1.5459,                0.00571,                0.00571,                0.00571
                    133,                 1.5613,                  0.892,                  1.292,                0.88098,                0.77258,                0.82307,                0.40829,                 1.8083,                0.99218,                 1.5264,               0.005677,               0.005677,               0.005677
                    134,                 1.5393,                0.89445,                  1.294,                0.88197,                0.76431,                0.81722,                0.41221,                 1.8139,                0.96317,                 1.5488,               0.005644,               0.005644,               0.005644
                    135,                 1.5397,                0.87256,                 1.3023,                0.89302,                0.78087,                0.84275,                 0.4187,                 1.8232,                0.95847,                 1.5415,               0.005611,               0.005611,               0.005611
                    136,                  1.518,                0.86797,                 1.2791,                0.87456,                0.77955,                0.82228,                 0.4232,                 1.8334,                0.97156,                 1.5492,               0.005578,               0.005578,               0.005578
                    137,                 1.5342,                0.89091,                 1.2922,                0.86923,                0.76318,                0.82345,                0.41686,                 1.9031,                0.96911,                 1.5839,               0.005545,               0.005545,               0.005545
                    138,                  1.532,                0.89754,                   1.29,                0.88649,                0.76203,                0.82451,                0.41858,                 1.8245,                0.97899,                 1.5317,               0.005512,               0.005512,               0.005512
